Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.8,0,1818.367,698488.8,5.8848
10.2,0,1818.933,708598.6,6.764074
10.2,0,1818.933,708595.2,2.8418
10.2,0,1818.933,708595.2,5.1886
10.2,0,1818.933,708595.3,2.5588
10.2,0,1818.933,708595.3,1.2331
10.2,0,1818.933,708595.3,2.0746
10.2,0,1818.933,708595.4,1.5512
10.2,0,1818.933,708595.6,4.663
10.2,0,1818.933,708595.7,5.8848
10.7,0,1819.596,718738.4,7.5354
10.7,0,1819.596,718733.7,2.8418
10.7,0,1819.596,718733.8,5.1886
10.7,0,1819.596,718733.9,2.5588
10.7,0,1819.596,718733.9,1.816495
10.7,0,1819.596,718733.9,2.0746
10.7,0,1819.596,718733.9,1.793477
10.7,0,1819.596,718734.0,4.663
10.7,0,1819.596,718734.3,5.8848
9.3,0,1819.583,728807.1,7.891797
9.3,0,1819.583,728801.8,2.8418
9.3,0,1819.583,728801.9,5.1886
9.3,0,1819.583,728801.9,2.766773
9.3,0,1819.583,728801.9,3.2106
9.3,0,1819.583,728802.3,2.0746
9.3,0,1819.583,728802.4,2.0274
9.3,0,1819.583,728802.4,4.663
9.3,0,1819.583,728802.4,5.8848
9.9,0,1818.29,738866.1,8.225201
9.9,0,1818.29,738862.3,2.8418
9.9,0,1818.29,738862.4,5.1886
9.9,0,1818.29,738862.4,3.126
9.9,0,1818.29,738862.6,3.2106
10.0,0,1818.29,738862.9,2.0746
10.0,0,1818.29,738862.9,2.0274
10.0,0,1818.29,738863.0,4.663
10.0,0,1818.29,738863.3,5.8848
10.2,0,1819.293,748977.0,8.225201
10.2,0,1819.293,748972.1,2.8418
10.2,0,1819.293,748972.3,5.1886
10.2,0,1819.293,748972.3,3.647259
10.2,0,1819.293,748972.4,3.2106
10.2,0,1819.293,748972.4,2.0746
10.2,0,1819.293,748973.1,2.0274
10.2,0,1819.293,748973.2,5.224786
10.2,0,1819.293,748973.6,5.8848
9.5,0,1818.508,759058.0,8.225201
9.5,0,1818.508,759053.6,2.8418
9.5,0,1818.508,759053.6,5.1886
9.5,0,1818.508,759053.6,3.9898
9.5,0,1818.508,759053.7,3.2106
9.5,0,1818.508,759053.8,2.0746
9.5,0,1818.508,759053.8,2.0274
9.5,0,1818.508,759053.8,5.4388
9.5,0,1818.508,759054.1,5.8848
9.7,0,1818.197,769085.2,8.225201
9.7,0,1818.197,769080.3,2.8418
9.7,0,1818.197,769080.3,5.1886
9.7,0,1818.197,769080.4,3.9898
9.7,0,1818.197,769080.4,3.2106
9.7,0,1818.197,769080.5,2.0746
9.7,0,1818.197,769080.5,2.0274
9.7,0,1818.197,769080.6,5.4388
9.7,0,1818.197,769080.6,5.8848
10.3,0,1819.556,793682.6,8.225201
10.3,0,1819.556,793679.0,2.8418
10.3,0,1819.556,793679.1,5.1886
10.3,0,1819.556,793679.1,4.016067
10.3,0,1819.556,793679.2,4.0982
10.3,0,1819.556,793679.3,2.0746
10.3,0,1819.556,793679.6,2.0274
10.3,0,1819.556,793679.8,5.4388
10.3,0,1819.556,793679.9,5.8848
10.2,0,1818.297,803730.3,8.225201
10.2,0,1818.297,803725.3,2.8418
10.2,0,1818.297,803725.3,5.1886
10.2,0,1818.297,803725.4,4.3444
10.2,0,1818.297,803725.4,4.0982
10.2,0,1818.297,803725.5,2.0746
10.2,0,1818.297,803725.5,2.0274
10.2,0,1818.297,803725.6,5.4388
10.2,0,1818.297,803727.4,5.8848
9.5,0,1819.377,813737.8,8.225201
9.5,0,1819.377,813733.1,2.8418
9.5,0,1819.377,813733.1,5.308338
9.5,0,1819.377,813733.1,4.3444
9.5,0,1819.377,813733.3,4.465665
9.5,0,1819.377,813733.6,2.0746
9.5,0,1819.377,813733.8,2.0274
9.5,0,1819.377,813734.2,5.4388
9.5,0,1819.377,813734.5,5.8848
9.0,0,1819.984,823759.6,8.573743
9.0,0,1819.984,823755.0,2.8418
9.0,0,1819.984,823755.1,5.5206
9.0,0,1819.984,823755.2,4.3444
9.0,0,1819.984,823755.2,4.9284
9.0,0,1819.984,823755.3,2.0746
9.0,0,1819.984,823755.3,2.0274
9.0,0,1819.984,823755.3,5.4388
9.0,0,1819.984,823755.3,5.8848
8.9,0,1819.212,833779.9,8.912301
8.9,0,1819.212,833774.2,2.8418
8.9,0,1819.212,833774.3,5.5206
8.9,0,1819.212,833774.3,4.3444
8.9,0,1819.212,833774.3,4.9284
8.9,0,1819.212,833774.3,2.0746
8.9,0,1819.212,833774.3,2.0274
8.9,0,1819.212,833774.3,5.4388
8.9,0,1819.212,833774.4,5.8848
9.9,0,1820.404,843786.8,9.355201
9.9,0,1820.404,843781.6,2.8418
9.9,0,1820.404,843781.6,5.56248
9.9,0,1820.404,843781.7,4.3444
9.9,0,1820.404,843781.8,4.9284
9.9,0,1820.404,843781.8,2.737779
9.9,0,1820.404,843781.8,2.594421
9.9,0,1820.404,843781.8,5.4388
9.9,0,1820.404,843781.9,5.987958
9.2,0,1818.875,853901.6,9.355201
9.2,0,1818.875,853898.1,2.8418
9.2,0,1818.875,853898.3,5.819
9.2,0,1818.875,853898.3,4.3444
9.2,0,1818.875,853898.3,4.9284
9.2,0,1818.875,853898.4,2.8158
9.2,0,1818.875,853898.4,3.0068
9.2,0,1818.875,853898.4,5.4388
9.2,0,1818.875,853898.5,6.1648
9.4,0,1819.222,864031.4,9.355201
9.4,0,1819.222,864027.2,2.8418
9.4,0,1819.222,864027.3,5.819
9.4,0,1819.222,864027.3,4.988289
9.4,0,1819.222,864027.3,4.9284
9.4,0,1819.222,864027.4,3.312228
9.4,0,1819.222,864027.4,3.0068
9.4,0,1819.222,864027.5,5.4388
9.4,0,1819.222,864027.5,6.1648
